"Início dos relatórios","Encerramento dos relatórios","Nome da campanha","Veiculação da campanha",Resultados,"Indicador de resultados","Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Impressões,Alcance,Término,"Configuração de atribuição"
2026-07-30,2026-07-30,LT_CVP_PROCRASTINACAO_TESTE2_BR_FRIO_2026-07-29,active,,,,111,Diário,35.19,829,605,Contínuo,"Clique de 7 dias"
2026-07-30,2026-07-30,LT_CVP_PROCRASTINACAO_ORFA01_BR_QUENTE_2026-07-27,inactive,,,,80,Diário,0,0,0,Contínuo,"Clique de 7 dias"
2026-07-30,2026-07-30,LT_CVP_PROCRASTINACAO_TESTE_BR_FRIO_2026-07-26,active,,,,135,Diário,23.1,676,568,Contínuo,"Clique de 7 dias"
2026-07-30,2026-07-30,LT_CVP_PROCRASTINACAO_TESTE_BR_QUENTE-SEGUIDORES_2026-07-23,active,1,actions:offsite_conversion.fb_pixel_purchase,13.5,135,Diário,13.5,449,386,Contínuo,"Clique de 7 dias"
2026-07-29,2026-07-29,LT_CVP_PROCRASTINACAO_TESTE2_BR_FRIO_2026-07-29,active,1,actions:offsite_conversion.fb_pixel_purchase,44.98,111,Diário,44.98,1226,926,Contínuo,"Clique de 7 dias"
2026-07-29,2026-07-29,LT_CVP_PROCRASTINACAO_ORFA01_BR_QUENTE_2026-07-27,inactive,,,,80,Diário,14.98,594,417,Contínuo,"Clique de 7 dias"
2026-07-29,2026-07-29,LT_CVP_PROCRASTINACAO_TESTE_BR_FRIO_2026-07-26,active,7,actions:offsite_conversion.fb_pixel_purchase,17.40142857,135,Diário,121.81,3807,2657,Contínuo,"Clique de 7 dias"
2026-07-29,2026-07-29,LT_CVP_PROCRASTINACAO_TESTE_BR_QUENTE-SEGUIDORES_2026-07-23,active,10,actions:offsite_conversion.fb_pixel_purchase,11.818,135,Diário,118.18,5106,3958,Contínuo,"Clique de 7 dias"
2026-07-28,2026-07-28,LT_CVP_PROCRASTINACAO_TESTE2_BR_FRIO_2026-07-29,active,,,,111,Diário,0,0,0,Contínuo,"Clique de 7 dias"
2026-07-28,2026-07-28,LT_CVP_PROCRASTINACAO_ORFA01_BR_QUENTE_2026-07-27,inactive,6,actions:offsite_conversion.fb_pixel_purchase,16.98,80,Diário,101.88,3569,1965,Contínuo,"Clique de 7 dias"
2026-07-28,2026-07-28,LT_CVP_PROCRASTINACAO_TESTE_BR_FRIO_2026-07-26,active,15,actions:offsite_conversion.fb_pixel_purchase,10.61933333,135,Diário,159.29,4849,3238,Contínuo,"Clique de 7 dias"
2026-07-28,2026-07-28,LT_CVP_PROCRASTINACAO_TESTE_BR_QUENTE-SEGUIDORES_2026-07-23,active,9,actions:offsite_conversion.fb_pixel_purchase,12.64555556,135,Diário,113.81,5394,4405,Contínuo,"Clique de 7 dias"
2026-07-27,2026-07-27,LT_CVP_PROCRASTINACAO_TESTE2_BR_FRIO_2026-07-29,active,,,,111,Diário,0,0,0,Contínuo,"Clique de 7 dias"
2026-07-27,2026-07-27,LT_CVP_PROCRASTINACAO_ORFA01_BR_QUENTE_2026-07-27,inactive,,,,80,Diário,0,0,0,Contínuo,"Clique de 7 dias"
2026-07-27,2026-07-27,LT_CVP_PROCRASTINACAO_TESTE_BR_FRIO_2026-07-26,active,14,actions:offsite_conversion.fb_pixel_purchase,13.37071429,135,Diário,187.19,5098,3148,Contínuo,"Clique de 7 dias"
2026-07-27,2026-07-27,LT_CVP_PROCRASTINACAO_TESTE_BR_QUENTE-SEGUIDORES_2026-07-23,active,15,actions:offsite_conversion.fb_pixel_purchase,8.86333333,135,Diário,132.95,7184,5372,Contínuo,"Clique de 7 dias"
2026-07-26,2026-07-26,LT_CVP_PROCRASTINACAO_TESTE2_BR_FRIO_2026-07-29,active,,,,111,Diário,0,0,0,Contínuo,"Clique de 7 dias"
2026-07-26,2026-07-26,LT_CVP_PROCRASTINACAO_ORFA01_BR_QUENTE_2026-07-27,inactive,,,,80,Diário,0,0,0,Contínuo,"Clique de 7 dias"
2026-07-26,2026-07-26,LT_CVP_PROCRASTINACAO_TESTE_BR_FRIO_2026-07-26,active,,,,135,Diário,0,0,0,Contínuo,"Clique de 7 dias"
2026-07-26,2026-07-26,LT_CVP_PROCRASTINACAO_TESTE_BR_QUENTE-SEGUIDORES_2026-07-23,active,24,actions:offsite_conversion.fb_pixel_purchase,7.47666667,135,Diário,179.44,9307,5516,Contínuo,"Clique de 7 dias"
2026-07-25,2026-07-25,LT_CVP_PROCRASTINACAO_TESTE2_BR_FRIO_2026-07-29,active,,,,111,Diário,0,0,0,Contínuo,"Clique de 7 dias"
2026-07-25,2026-07-25,LT_CVP_PROCRASTINACAO_ORFA01_BR_QUENTE_2026-07-27,inactive,,,,80,Diário,0,0,0,Contínuo,"Clique de 7 dias"
2026-07-25,2026-07-25,LT_CVP_PROCRASTINACAO_TESTE_BR_FRIO_2026-07-26,active,,,,135,Diário,0,0,0,Contínuo,"Clique de 7 dias"
2026-07-25,2026-07-25,LT_CVP_PROCRASTINACAO_TESTE_BR_QUENTE-SEGUIDORES_2026-07-23,active,14,actions:offsite_conversion.fb_pixel_purchase,5.53285714,135,Diário,77.46,2864,2029,Contínuo,"Clique de 7 dias"
2026-07-24,2026-07-24,LT_CVP_PROCRASTINACAO_TESTE2_BR_FRIO_2026-07-29,active,,,,111,Diário,0,0,0,Contínuo,"Clique de 7 dias"
2026-07-24,2026-07-24,LT_CVP_PROCRASTINACAO_ORFA01_BR_QUENTE_2026-07-27,inactive,,,,80,Diário,0,0,0,Contínuo,"Clique de 7 dias"
2026-07-24,2026-07-24,LT_CVP_PROCRASTINACAO_TESTE_BR_FRIO_2026-07-26,active,,,,135,Diário,0,0,0,Contínuo,"Clique de 7 dias"
2026-07-24,2026-07-24,LT_CVP_PROCRASTINACAO_TESTE_BR_QUENTE-SEGUIDORES_2026-07-23,active,11,actions:offsite_conversion.fb_pixel_purchase,18.54909091,135,Diário,204.04,5447,2860,Contínuo,"Clique de 7 dias"
2026-07-23,2026-07-23,LT_CVP_PROCRASTINACAO_TESTE2_BR_FRIO_2026-07-29,active,,,,111,Diário,0,0,0,Contínuo,"Clique de 7 dias"
2026-07-23,2026-07-23,LT_CVP_PROCRASTINACAO_ORFA01_BR_QUENTE_2026-07-27,inactive,,,,80,Diário,0,0,0,Contínuo,"Clique de 7 dias"
2026-07-23,2026-07-23,LT_CVP_PROCRASTINACAO_TESTE_BR_FRIO_2026-07-26,active,,,,135,Diário,0,0,0,Contínuo,"Clique de 7 dias"
2026-07-23,2026-07-23,LT_CVP_PROCRASTINACAO_TESTE_BR_QUENTE-SEGUIDORES_2026-07-23,active,,,,135,Diário,0,0,0,Contínuo,"Clique de 7 dias"
